Course Title,Course Description,Antirequisites,Prerequisites,Extra Information,Course Weight,Subject
Geography 3211A/B SPATIAL STATISTICS,"Topics include exploratory spatial data analysis, global and local spatial statistics, spatial autocorrelation and interpolation, spatial regression models, and geographically weighted regression. The emphasis will be on developing analytical skills with practical applications using statistical software and Geographic Information Systems.",,"Geography 2220A/B, Geography 2210A/B, Biology 2244A/B, Statistical Sciences 2244A/B","2 lecture hours, 2 lab hours. Limited enrollment.",0.50,Geography
Geography 3221A/B ADVANCED SEMINAR IN GEOGRAPHIC INFORMATION SCIENCE,The application of general principles of scientific modelling and visualization to geographic problems using a GIS and other relevant spatial information processing systems. Seminar/studio format with individual or team student projects.,,Geography 2220A/B,3 seminar hours.,0.50,Geography
Geography 3222A/B GEOGRAPHIC INFORMATION SCIENCE II,"Methods and techniques in Geographic Information Science. Spatial data encoding from maps and geographic database implementation. Spatial interpolation and other modeling techniques. Integration of remote sensing, GIS and Visualization. Hands-on experience using ESRI, ArcGIS software.",,"Geography 2210A/B, Biology 2244A/B, Statistical Sciences 2244A/B, Geography 2220A/B","2 lecture hours, 2 laboratory hours.",0.50,Geography
Geography 3223A/B DECISION-MAKING WITH GIS,Principles of integrating GIS and Decision Analysis. Selected GIS-based decision-making techniques are applied in practical sessions. A range of applications from both public and private sector organizations are covered.,,Geography 2220A/B,"2 lecture hours, 2 practical work hours.",0.50,Geography
Geography 3231A/B ADVANCED TOPICS IN REMOTE SENSING,"Themes to be considered may include: advanced computer analysis of digital satellite and airborne data (optical, infrared and radar), advanced image classification methods, texture analysis, change detection, automatic linear feature extraction, structural pattern recognition and remote sensing applications. Remote sensing software will be used in lab.",,Geography 2230A/B,"2 lecture hours, 2 laboratory hours.",0.50,Geography
Geography 3250A/B SOCIAL SCIENCE RESEARCH METHODS IN GEOGRAPHY,"A survey of a range of social scientific methods for studying humans (e.g., interviews, questionnaires); with an emphasis on research designs involving human interaction. Topics include identifying research problems, questions and designs, sources of error, ethics and values in research, methods of data collection, data analysis and presentation of findings.",,,"2 lecture hours, 2 laboratory hours.",0.50,Geography
Geography 3260A/B ENVIRONMENTAL MODELLING,"Examination of spatially and temporally distributed environmental models that use Geographic Information Systems and remote sensing techniques. Modelling of watershed systems, focusing on the energy, water, and biogeochemical cycles. Prediction of environmental and/or ecological change on watershed systems.",,"Geography 2210A/B, Geography 2220A/B, Geography 2310A/B, Geography 2320A/B, Geography 2330A/B","2 lecture hours, 2 practical hours.",0.50,Geography
Geography 3311A/B MICROMETEOROLOGY,"Principles of weather and climate at micro-, local, and meso-scales; processes associated with transfer of heat, mass, and momentum and resulting climates near the surface; local winds, fog, urban climates and air pollution.",,"Geography 2310A/B, Geography 2320A/B, Geography 2330A/B","2 lecture hours, 2 laboratory hours.",0.50,Geography
Geography 3312A/B HUMAN IMPACTS ON WEATHER AND CLIMATE,An examination of modified weather and climates due to human activities on scales ranging from local modification of microclimates in urban areas to global climate change due to changes in atmospheric composition. The processes underlying the changes are examined as well as the methods of detecting the changes.,,"Geography 2310A/B, Geography 2320A/B, Geography 2330A/B, Physics 2070A/B","3 lecture hours, 1 tutorial hour.",0.50,Geography
Geography 3333A/B DRAINAGE BASIN GEOMORPHOLOGY,"Analysis of drainage basin form and process, including fluvial processes on hillslopes, channel networks, the drainage basin sediment cascade, response of drainage basins to environmental change and selected applications to drainage basin management.",,"Geography 2310A/B, Geography 2320A/B, Geography 2330A/B","2 lecture hours, 2 laboratory hours.",0.50,Geography
Geography 3334A/B GEOMORPHOLOGY OF RIVER CHANNELS,"The geomorphology of rivers, including fluvial hydraulics, fluvial erosion and sediment transport, river channel morphology and dynamics, channel and floodplain sedimentation, the response of rivers to human activities and environmental change, and applications to river channel management.",,"Geography 2310A/B, Geography 2320A/B, Geography 2330A/B","2 lecture hours, 2 laboratory hours.",0.50,Geography
Geography 3341A/B HYDROLOGY,"The relationship between rainfall and runoff, including the influence of vegetation and soil-water systems; runoff from snow and ice; the hydrological role of lakes and rivers.",,"Geography 2310A/B, Geography 2320A/B, Geography 2330A/B","2 lecture hours, 2 laboratory hours.",0.50,Geography
Geography 3342A/B GROUNDWATER HYDROLOGY,"The distribution and movement of groundwater; evaluation and monitoring of groundwater resources with respect to their extraction, pollution and remediation.",,"Geography 2310A/B, Geography 2320A/B, Geography 2330A/B","2 lecture hours, 2 laboratory hours.",0.50,Geography
Geography 3343A/B RIVER ECOSYSTEMS,"This course introduces students to riverine ecosystems. General principles of the physical, chemical and biological patterns and processes of river systems are presented in a landscape context. The course emphasizes human driven landscape changes in the health and sustainability of river systems and teaches techniques for river monitoring and assessment.",,"Geography 2310A/B, Geography 2320A/B, Geography 2330A/B, Biology 2483A/B, Biology 2485A/B, Earth Sciences 2230A/B","2 lecture hours, 1 laboratory hour.",0.50,Geography
Geography 3350A/B ENVIRONMENTAL CHANGE,"The evidence, causes, and chronology of environmental change, with emphasis on the Holocene in North America.",,"Geography 2310A/B, Geography 2320A/B, Geography 2330A/B","2 lecture hours, 2 laboratory hours.",0.50,Geography
Geography 3352A/B PALEOLIMNOLOGY AND GLOBAL ENVIRONMENTAL CHANGE,"This course provides students with an introduction to paleolimnology, which uses the physical, chemical and biological characteristics of lake sediments to determine past environments.",,"Geography 2310A/B, Geography 2320A/B, Geography 2330A/B, Biology 2483A/B, Biology 2485A/B","2 lecture hours, 2 laboratory hours.",0.50,Geography
Geography 3411A/B CULTURAL GEOGRAPHY,"An examination of contemporary theories in cultural geography - ideology, identity, power, and space - and their application to contemporary issues such as class, consumption, gender, media, and racism. Emphasis is placed upon understanding and critiquing the social and political processes giving rise to cultural practices in their spatial contexts.",,,"2 lecture hours, 2 tutorial hours.",0.50,Geography
Geography 3412F/G GEOGRAPHY OF GENDER,"An examination of the spaces of masculinity and femininity; theories, concepts and selected topics. Issues addressed include spatial divisions of gender and social constructions of male and female roles and places.",,,"2 lecture hours, 1 tutorial hour.",0.50,Geography
Geography 3415A/B GEOGRAPHIC PERSPECTIVES ON LAW AND SOCIETY,"Law influences and sometimes determines spatial and environmental relations and, dialectically, these transform law. This course introduces geographic approaches, such as impact analysis, class and gender studies and discourse analysis, to law. It surveys topics such as the spacing of urbanism and social, cultural and environmental regulation.",,,3 seminar hours.,0.50,Geography
Geography 3416F/G URBAN CULTURE OF PUBLIC SPACES,"A geographic investigation of urban culture focusing on the design, use and identities of urban public spaces as evidenced through systematic observations of social life in urban public settings. Relevant concepts, theories, and field methods are applied to guide and critique the investigation.",,,"2 lecture hours, 2 laboratory hours.",0.50,Geography
Geography 3421A/B LOCATION THEORY AND ANALYSIS,"An examination of public and private facility location theory. Industrial location, retailing and public facility location approaches are discussed. GIS-based techniques for location analysis are applied in practical sessions.",,"Geography 2220A/B, Geography 2420A/B","2 lecture hours, 2 practical work hours.",0.50,Geography
Geography 3422A/B GEOGRAPHY OF INTERNATIONAL BUSINESS,"An examination of the spatial behavior of large corporations and the impact on regional economics. Investment pattern, interorganizational linkages and organizational change will be discussed.",,"Geography 2420A/B, Geography 2143A/B","2 lecture hours, 1 seminar hour.",0.50,Geography
Geography 3431A/B GEOGRAPHY OF HEALTH AND HEALTH CARE,"A critical examination of the major themes in the geography of health and health care. The focus will be on the importance of understanding place, space and environment as they relate to health. Geographical aspects of health inequalities, access and utilization will be explored.",,Geography 2430A/B,3 lecture hours.,0.50,Geography
Geography 3432A/B ENVIRONMENTAL HAZARDS AND HUMAN HEALTH,"This is a survey course regarding the links between human health and environmental hazard exposure. Issues will include the health impacts of water pollution, air pollution, solid and hazardous waste, toxic substances, pesticides and radiation. The limitations of models and methods are discussed.",,,"2 lecture hours, 1 tutorial hour.",0.50,Geography
Geography 3441F/G CONSERVATION AND DEVELOPMENT,"Examines struggles between conservation and economic development in a North-South context, setting the transformation of natural ecosystems and impoverishment of biodiversity in a political economic context that includes disparities in wealth, consumption, and 'ecological footprints'.",,,"2 lecture hours, 1 tutorial hour.",0.50,Geography
Geography 3442F/G GEOGRAPHIES OF DEVELOPMENT,"A thematic course on the geography of development. Common explanations for poverty and underdevelopment are critically assessed. Covers a range of scales (local, national, international, global) to demonstrate how processes operating at various scales interact to produce uneven geographical outcomes.",,,"2 lecture hours, 1 tutorial hour.",0.50,Geography
Geography 3443F/G ENERGY AND POWER,"This course investigates the political ecology of energy. Issues of politics and power, social equity, and environmental impact are examined through Canadian and international case studies. The concept of 'energy justice' is used both to critically assess current patterns of energy production and use and to explore more sustainable possibilities.",,,3 lecture hours.,0.50,Geography
Geography 3445F/G GLOBAL AGRICULTURE AND FOOD SYSTEMS,"Food is a basic human need and agriculture is one of the most fundamental ways that societies interact with their habitats. This course examines the diversity of world agriculture and the rise of a dominant industrial system, focusing on both the social and environmental dimensions of agrarian change.",,,"2 lecture hours, 1 tutorial hours.",0.50,Geography
Geography 3453F/G WATER RESOURCES MANAGEMENT,"The examination of concepts and methodologies utilized in the management of water. Lectures and tutorials will focus on water management strategies and their legal, administrative, economic and political implications. Topics of discussion include the watershed concept, demand management, and interbasin water transfers.",,Geography 2450F/G,3 lecture/tutorial hours.,0.50,Geography
Geography 3461F/G LAND USE AND DEVELOPMENT ISSUES,Critical examination of current land use and development projects; students are required actively to participate in the discussions.,,,3 seminar hours.,0.50,Geography
Geography 3462F/G LAND USE PLANNING,"Basic techniques for preparing, implementing, and applying land use plans and zoning controls.",,,3 seminar hours.,0.50,Geography
Geography 3463F/G HOUSING,"This course explores the geography of housing in North American cities from an historical perspective, with a detailed investigation of the effects of land development, construction, financing, planning, public policy, demographics and lifestyle changes on the production and consumption of residential landscapes.",,,"2 lecture hours, 2 tutorial hour.",0.50,Geography
Geography 3464F/G FINANCIAL FEASIBILITY OF URBAN DEVELOPMENTS,The object of the course is to expose students to the theoretical and empirical underpinnings of urban form and structure. A major focus is on static development feasibility models and their application to understanding urban change. The course provides a hands-on experience for students to build financial feasibility models of urban developments.,,"Geography 2460F/G, Business Administration 2257","2 lecture hours, 1 tutorial hours.",0.50,Geography
Geography 3465F/G URBAN ECONOMIC DEVELOPMENT AND POLICY,"This course examines policies used in economic development to ensure growth and competitiveness of urban economies. Topics include theories of urban economic development, analytical techniques for evaluating urban economies, business recruitment and retention policies, creative economy and quality of life policies, technology policies, and place-based economic development policies.",,"Geography 1400F/G, Geography 2210A/B, Geography 2220A/B, Geography 2420A/B, Geography 2460F/G","2 lecture hours, 1 tutorial hour.",0.50,Geography
Geography 3466F/G TRANSPORTATION AND THE CITY,"This course introduces students to the geography of urban transportation from a behavioral perspective. The course has three components: developing theories, constructing analytical models, and conducting empirical tests of the concepts and theories. Case studies will cover various modes of transportation: air, railway, bus, ocean freight, and private vehicle.",,"Geography 2210A/B, Economics 1021A/B, Geography 2143A/B, Geography 2420A/B, Geography 2210A/B, Biology 2244A/B, Economics 2122A/B, Economics 2222A/B, Health Sciences 3801A/B, MOS 2242A/B, Psychology 2810, Psychology 2820E, Psychology 2850A/B, Psychology 2851A/B, Social Work 2207A/B, Sociology 2205A/B, Statistical Sciences 2141A/B, Statistical Sciences 2143A/B, Statistical Sciences 2244A/B, Statistical Sciences 2858A/B","2 lecture hours, 1 lab/tutorial hour.",0.50,Geography
Geography 3900 INTERNSHIP,"Preparatory workshops and an 8-16 month placement with a government, private sector or non-governmental organization to acquire professional learning experience. Following the internship, students will produce a written report and do an oral presentation on work undertaken during the internship.",,,Non-credit.. Pass/Fail. Notes: ·This credit cannot be included in the number of courses counted towards any degree or program. ·Successful completion of will be recognized on a student's transcript. ·International students may participate in this course provided they find an Internship placement in a jurisdiction where they are legally permitted to work.,0,Geography
Geography 3901A/B SELECTED TOPICS IN GEOGRAPHY,Consult the Department of Geography for details of course offering.,,,3 hours.,0.50,Geography
Geography 3902A/B SELECTED TOPICS IN GEOGRAPHY,Consult the Department of Geography for details of course offering.,,,4 hours.,0.50,Geography
Geography 4000A/B THE NATURE AND PHILOSOPHY OF GEOGRAPHY,Discussion of geographical paradigms within an historical and social context. A central concern is the relationship between the academic and professional practice of geography.,,,2 lecture hours.,0.50,Geography
Geography 4100A/B GEOGRAPHY AND CHANGE,This advanced seminar focuses on effective strategies for the implementation of constructive change. Core constructs are examined and students use a variety of media to develop skill sets related to the facilitation of constructive change. A heavy premium is placed on active engagement both individually and in group activities.,,,2 lecture hours.,0.50,Geography
Geography 4220A/B THE GEOWEB AND GEOMEDIA,"This course explores the challenges and opportunities of citizens' production, access, dissemination and use of Internet-based geospatial data (the geoweb) including locational and still/video imagery. Explores issues of ethics, privacy, research design and citizen engagement via the geoweb.",,Geography 2220A/B,"2 lecture hours, 1 laboratory hour.",0.50,Geography
Geography 4460F/G REAL ESTATE AND THE CITIES,"The object of the course is to expose students to the theoretical and empirical underpinnings of urban form and structure. A major focus is on understanding the theories, acquiring the techniques to test the theories, and critiquing the approaches employed for the empirical tests.",MOS 4314F/G,"Geography 2210A/B, MOS 2242A/B, Statistical Sciences 2035","2 lecture hours, 1 tutorial hours.",0.50,Geography
Geography 4900E THESIS,"A thesis on a geographical problem including the results of field work, cartographic representation, and a study of the relevant literature.",,,Hours by arrangement.,1.50,Geography
Geography 4901E THESIS (SCIENCE),"A thesis on a geographical problem in the natural, physical or technical sciences.",,,Hours by arrangement.,1.50,Geography
Health Sciences 1001A/B PERSONAL DETERMINANTS OF HEALTH,"This course focuses on health and wellness with an emphasis on increasing knowledge and awareness of a wide variety of health-related topics, as well as on improving individual health.",,,"3 lecture hours, 1 tutorial hour.",0.50,Health Sciences
Health Sciences 1002A/B SOCIAL DETERMINANTS OF HEALTH,"This course introduces key social determinants of health, and orients students to viewing health in relation to social factors, equity, and social justice. Students will be introduced to basic terms, concepts, and measurements related to health, public health, population health, and health inequalities.",,,"3 lecture hours, 1 tutorial hour.",0.50,Health Sciences
Health Sciences 2000A/B HIGHWAY TO HEALTH,"This introduction to the multidisciplinary field of health sciences will engage students in learning about health from multiple perspectives. Each week, an expert will lecture on contemporary issues in health such as: aging and health; occupational health; ethical issues in health care; health and popular culture; global health issues; sexuality and health.",,,2 lecture hours.,0.50,Health Sciences
Health Sciences 2045A/B EMERGINIG TRENDS IN HEALTH CARE,"Health care systems have undergone profound change in the last decade due to changing demographics, funding constraints, new and emerging technologies and a significant rise in chronic diseases. This course examines new and emerging trends in health care at provincial, national and international levels to prepare students for future careers in a changing health care environment.",,"Health Sciences 1001A/B, Health Sciences 1002A/B",3 hours.,0.50,Health Sciences
Health Sciences 2090A/B SPECIAL TOPICS IN HEALTH SCIENCES,Selected topics in the area of Health Sciences. Topics and course descriptions available in the Bachelor of Health Sciences Program office.,,"Health Sciences 1001A/B, Health Sciences 1002A/B",3 lecture hours.,0.50,Health Sciences
Health Sciences 2091A/B SPECIAL TOPICS IN HEALTH SCIENCES,Selected topics in the area of Health Sciences. Topics and course descriptions available in the Bachelor of Health Sciences Program office.,,"Health Sciences 1001A/B, Health Sciences 1002A/B",3 lecture hours.,0.50,Health Sciences
Health Sciences 2250A/B HEALTH PROMOTION,"Overview of concepts of health promotion and disease prevention in Canada: health promotion models and theories; health promotion program planning, implementation and evaluation including needs assessments, social marketing and community advocacy.",,"Health Sciences 1001A/B, Health Sciences 1002A/B",3 lecture hours.,0.50,Health Sciences
Health Sciences 2300A/B SYSTEMIC APPROACH TO FUNCTIONAL ANATOMY,"A gross anatomical description of systemic structure and function of the human body, with emphasis on skeletal, muscular and cardiovascular systems. Integration between systems will be discussed using clinical examples related to sport, medicine, and physical therapy. This is an introductory level lecture course.","Anatomy and Cell Biology 2221, Anatomy and Cell Biology 3319, Kinesiology 2222A/B",,"3 lecture hours, 1.0 laboratory hour.",0.50,Health Sciences
Health Sciences 2330A/B SYSTEMIC AND FUNCTIONAL ANATOMY,A gross anatomical description of the systemic structure and function of the human body. Emphasis will be placed on clinical nursing applications.,"Health Sciences 2300A/B, Anatomy and Cell Biology 2221, Anatomy and Cell Biology 3319, Kinesiology 2222A/B",,"3 lecture hours, 1 tutorial hour.",0.50,Health Sciences
Health Sciences 2450A/B MODELS OF HEALTH & HEALTH CARE DELIVERY,"This course will examine models of health from a variety of perspectives, including historical, biomedical/clinical, sociobehavioural, socioenvironmental, adaptive, functional and eudaemonistic. Topics include: Canada Health Act, Planning the Restructuring/Reshaping of the System, What is Primary Health Care?, Comparisons to Other Global Health Care Systems, Worker's Compensation System, Third Party Payer System.",,"Health Sciences 1001A/B, Health Sciences 1002A/B",3 lecture hours.,0.50,Health Sciences
Health Sciences 2610F/G INTRODUCTION TO ETHICS AND HEALTH,"An introduction to basic moral theory and development of an understanding of moral reasoning. The course will also teach students to apply basic principles of sound moral decision-making to important ethical issues in health including: concepts of health, wellness, and illness, allocation of scarce resources, the notion of ""consent"". The methods of explaining/justifying moral decisions in health will be explored by surveying major philosophical approaches to ethics.","Philosophy 2071E, Philosophy 2715F/G","Health Sciences 1001A/B, Health Sciences 1002A/B",2 lecture hours.,0.50,Health Sciences
Health Sciences 2700A/B HEALTH ISSUES IN CHILDHOOD AND ADOLESCENCE,"This course will explore the physical, social, psychological, and spiritual determinates of health from the prenatal period to early adulthood. The focus will be on health applications of developmental concepts, and emphasis will be placed on contemporary issues affecting health.","Psychology 2040A/B, Psychology 2410A/B, Psychology 2480E, Kinesiology 3347A/B","Health Sciences 1001A/B, Health Sciences 1002A/B","2 lecture hours, 1 tutorial.",0.50,Health Sciences
Health Sciences 2711A/B HEALTH ISSUES IN AGING,"This course will examine, from an interdisciplinary perspective, fundamental issues associated with growing older and the complex interaction of physical, psychosocial, and environmental issues that influence the health and well-being of older adults.",,"Health Sciences 1001A/B, Health Sciences 1002A/B","2 lecture hours, 1 tutorial.",0.50,Health Sciences
Health Sciences 2801A/B RESEARCH METHODS IN HEALTH SCIENCES,"An introduction to the design of health sciences research, providing students with knowledge relevant to the planning and evaluation of research in both laboratory and applied settings.","Kinesiology 2032A/B, Psychology 2800E, Psychology 2820E, Psychology 2840F/G, Sociology 2206A/B","Health Sciences 1001A/B, Health Sciences 1002A/B","2 lecture hours, 1 laboratory hour.",0.50,Health Sciences
Health Sciences 3002A/B HEALTH OCCUPATIONS,"Lecture and case studies are used to explore the diversity of health issues and delivery systems within Canada and the international community. Guest lecturers from health services, industry, and the community will outline current practices as they relate to health services and their relationship to present and future health sciences-oriented needs.",,"Health Sciences 1001A/B, Health Sciences 1002A/B",3 lecture hours.,0.50,Health Sciences
Health Sciences 3010F/G INTRODUCTION TO RURAL COMMUNITIES,"An introduction to rural communities and how they differ from urban communities. Rural vs. urban comparisons will be introduced from sociological, infrastructure, political, and health services perspectives.",,Health Sciences 2610F/G,3 lecture hours.,0.50,Health Sciences
Health Sciences 3025A/B INTEGRATIVE HEALTH,"Integrative Health examines a variety of areas and issues concerning the broad field of integrative health. From an evidence-based perspective, the course explores integrative health domains and assesses the quantitative and qualitative evidence about these various forms of ""alternative"" health including, but not limited to Oriental medicine, mind-body interventions, manual therapies, and herbal/pharmacological approaches to integrative health and lifestyle decision-making.",,"Health Sciences 1001A/B, Health Sciences 1002A/B",3 lecture hours.,0.50,Health Sciences
Health Sciences 3040A/B HEALTH MANAGEMENT,"Health care organizations, their management practices, and an introduction to management theories as applied to health care organizations.",,"Health Sciences 1001A/B, Health Sciences 1002A/B",3 lecture hours.,0.50,Health Sciences
Health Sciences 3042A/B CROSS SECTOR HEALTH PARTNERSHIP MODELS,"Strategic inter-sectoral partnerships and collaborations are becoming increasingly important in health care environments world-wide. This course will compare and contrast models used in different health care settings, explore social and economic value, cross-sector models of collaboration, and examine strategies for forming successful cross-sector partnerships to ensure optimal delivery of health care.",,Health Sciences 2250A/B,3 hours.,0.50,Health Sciences
Health Sciences 3050A/B HEALTH RELATED QUALITY OF LIFE,"The course provides information on the construct, measurement, and definition of health related quality of life in health and disease and is directed toward understanding the multidimensional nature of quality of life as a theoretical construct and its application to health and wellness, illness, and disease.",,"Health Sciences 1001A/B, Health Sciences 1002A/B",3 lecture hours.,0.50,Health Sciences
Health Sciences 3052A/B BRIEF HISTORY OF DRUG USE,"There haven't been many topics more controversial than drugs in North America. Drug use is one of those features of humanity than goes back into prehistory, and in many ways our current drug use isn't significantly different. This course seeks to examine present-day debates about drugs through historical, sociological and ethical perspectives.",,"Health Sciences 1001A/B, Health Sciences 1002A/B",2 lecture hours.,0.50,Health Sciences
Health Sciences 3071A/B DETERMINANTS OF HEALTH AND DISEASE,"Many factors such as individual characteristics and behaviour, social status, physical and social environments and personal relationships affect the health of individuals and communities. This course will provide an in-depth investigation of the key determinants of health and disease, with special attention to modifiable and non-modifiable factors.",Sociology 2246A/B,"Health Sciences 1001A/B, Health Sciences 1002A/B",3 lecture hours.,0.50,Health Sciences
Health Sciences 3080F/G HEALTH PROMOTION AND CARING IN RURAL CONTEXTS,"Theory, practice, research and issues related to nursing in rural and remote settings will be examined. The health status of various rural populations, related public policy and the factors influencing health of rural residents will be explored.",Nursing 3380F/G,,3 lecture hours.,0.50,Health Sciences
Health Sciences 3090A/B SPECIAL TOPICS IN HEALTH SCIENCES,Selected topics in the area of Health Sciences. Topics and course descriptions available in the School of Health Studies office.,,"Health Sciences 1001A/B, Health Sciences 1002A/B",3 lecture hours.,0.50,Health Sciences
Health Sciences 3091A/B SPECIAL TOPICS IN HEALTH SCIENCES,Selected topics in the area of Health Sciences. Topics and course descriptions available in the School of Health Studies office.,,"Health Sciences 1001A/B, Health Sciences 1002A/B",3 lecture hours.,0.50,Health Sciences
Health Sciences 3092A/B SPECIAL TOPICS IN HEALTH SCIENCES,Selected topics in the area of Health Sciences. Topics and course descriptions available in the School of Health Studies office.,,"Health Sciences 1001A/B, Health Sciences 1002A/B",3 lecture hours.,0.50,Health Sciences
Health Sciences 3093F/G SPECIAL TOPICS IN HEATH SCIENCES,Selected topics in the area of Health Sciences. Topics and course descriptions available in the School of Health Studies office.,,,3 lecture hours.,0.50,Health Sciences
Health Sciences 3101A/B HEALTHCARE LAW,"A survey of the law governing the provision of treatment, counselling and care in Ontario. Topics and issues may include capacity to consent, negligence, documentation, confidentiality, disclosure, mandatory reporting, and health information privacy legislation.","Health Sciences 4090A/B, Law 3101A/B",,3 lecture hours. Cross-listed with .,0.50,Health Sciences
Health Sciences 3141Y HEALTH ADVOCACY,"Advocacy plays a key role in the development of health policy. The Canadian Public Health Association, for example, describes advocacy as a “core function” of public health associations. Effective advocacy requires both knowledge and experience, which students will develop by creation of an advocacy campaign that will impact local communities and beyond.",,"Pre-or Corequisite(s):, Health Sciences 3101A/B, Health Sciences 3400A/B",3 contact hours.,0.50,Health Sciences
Health Sciences 3190F/G INTRODUCTION TO INTERPROFESSIONAL HEALTH EDUCATION,"This course is intended to aid students considering a career in any health-related profession. It will help to prepare students for education and practice in the evolving healthcare system and introduce concepts that will help them to understand how to be effective as part of an interprofessional team. Diverse methods of teaching and evaluation will be used, including online facilitation and small group learning.",,,Online course.,0.50,Health Sciences
Health Sciences 3210A/B HEALTH COMMUNICATION,"This course will review the growing importance of health communication through an examination of theoretical frameworks, communication techniques and technologies that promote the health of individuals, communities, and populations. Topics may include health literacy, clinician to client communication, peer to peer communication, 'edutainment' communication, effective public health messages and mass media campaigns, risk and emergency communication.",,"Health Sciences 1001A/B, Health Sciences 1002A/B",3 lecture hours.,0.50,Health Sciences
Health Sciences 3250F/G GLOBAL HEALTH PROMOTION,"Political, economic, social, cultural, environmental, behavioural and biological factors determine health status. Designed for an interdisciplinary student mix, this course will explore issues identified as significant determinants of health (poverty, disease, illiteracy, environmental degradation) and strategies (activism, community development) to promote health within a global context.",,"Health Sciences 1001A/B, Health Sciences 1002A/B",3 lecture hours.,0.50,Health Sciences
Health Sciences 3251F/G GLOBAL HEALTH PROMOTION PRACTICUM,"Based on a service-learning philosophy, students will have an opportunity to provide an important community service and to benefit from `learning-in-context' about health promotion within a global perspective. This field placement will enable students to practice the skills (e.g., community development, activism) learned within  Health Sciences 3250F/G .",,Health Sciences 3250F/G,3 lecture hours.,0.50,Health Sciences
Health Sciences 3290A/B SPECIAL TOPICS IN HEALTH PROMOTION,Selected topics in the area of Health Promotion. Topics and course descriptions available in the Bachelor of Health Sciences Program office.,,"Health Sciences 1001A/B, Health Sciences 1002A/B",3 lecture hours.,0.50,Health Sciences
Health Sciences 3300A/B ANATOMY OF THE HUMAN BODY: A DESCRIPTION OF SYSTEMIC STRUCTURE & FUNCTION - PART II,"A gross anatomical description of the structure and function of the human body focusing on systems responsible for maintaining the body (respiratory, digestive, urinary, endocrine), and for its continuation through the transmission of genes (reproductive system, developmental anatomy). Emphasis on the physiological functions as they relate to the anatomical structure.","Anatomy and Cell Biology 2221, Anatomy and Cell Biology 3319","Health Sciences 2300A/B, Health Sciences 2330A/B, Kinesiology 2222A/B",3 lecture hours.,0.50,Health Sciences
Health Sciences 3400A/B HEALTH POLICY,"An examination of the process, outcome and implementation of health policy with a specific focus on Canadian health policy. Key issues to be addressed include the development of policy, the various actors involved in the health policy process; the different arenas where health policy is created, the various policy instruments and how these are implemented and evaluated.",,"Health Sciences 1001A/B, Health Sciences 1002A/B",3 lecture hours.,0.50,Health Sciences
"Health Sciences 3630F/G SEXUALITY, GENDER, AND HEALTH","This course explores how sexuality, gender, and health are experienced, valued, and socially constructed. The materials selected provide a sound overview of the basic concepts and theoretical approaches related to these three issues and also introduce students to some of the newer fields of research that are emerging.",,"Health Sciences 1001A/B, Health Sciences 1002A/B",3 lecture hours.,0.50,Health Sciences
Health Sciences 3701A/B THE AGING BODY,"This course examines the complexities of aging from a physiological perspective and provides students with learning opportunities to examine normal and abnormal aging, theories of aging, common conditions associated with aging, compression of morbidity, the concept of frailty, aging as a developmental process, and the complex interaction of disease, disability and function with advancing age.",,"Health Sciences 2300A/B, Health Sciences 2700A/B, Health Sciences 2711A/B",3 hours.,0.50,Health Sciences
Health Sciences 3702A/B THE AGING MIND,"This course examines the complexities of aging from a psychological perspective and provides students with learning opportunities to examine psychological theories of aging, the mind-body connection, strategies to optimize cognitive vitality with advancing age and common conditions associated with aging such as Alzheimer’s Disease and other related dementias.",,Health Sciences  2711A/B,3 hours.,0.50,Health Sciences
Health Sciences 3704A/B POPULATION AGING AND HEALTH,"Responding to the health needs of an aging population, this course will examine global aging and investigate issues unique to aging populations. Topics include demographic and population trends, global burden of disease, evolving models of care, contextual factors such as the environment, health system design and capacity, age-friendly cities and health policy considerations driven by an aging population.",,Health Sciences 2711A/B,3 hours.,0.50,Health Sciences
Health Sciences 3801A/B MEASUREMENT AND ANALYSIS IN HEALTH SCIENCES,"An introduction to measurement and analysis in health sciences research, covering topics such as validity, reliability, standard errors, confidence intervals, tests of means, correlation, and linear regression.","Biology 2244A/B, Economics 2122A/B, Economics 2222A/B, Geography 2210A/B, MOS 2242A/B, Psychology 2810, Psychology 2820E, Psychology 2830A/B, Psychology 2850A/B, Psychology 2851A/B, Social Work 2207A/B, Sociology 2205A/B, Statistical Sciences 2035, Statistical Sciences  2141A/B, Statistical Sciences  2143A/B, Statistical Sciences 2244A/B, Statistical Sciences  2858A/B, Statistical Sciences 2037A/B",,"2 lecture hours, 1 laboratory hour.",0.50,Health Sciences
Health Sciences 3820A/B PERSONAL CONSTRUCTIONS OF HEALTH,"A Personal Construct approach to understanding the individual ways in which persons construe health and health science by examining the nature of personal constructs, the repertory grid method, and implications for clinical decision making in health sciences.",,"Health Sciences 1001A/B, Health Sciences 1002A/B","2 lecture hours, 1 laboratory hour.",0.50,Health Sciences
Health Sciences 3840A/B INTRODUCTION TO HEALTH ECONOMIC EVALUATION METHODS,"This course will introduce basic concepts in methods for the economic evaluation of health interventions, and discuss how they are used to assess “value for money” in health care. Students will learn how to recognize and interpret health economic studies in the literature and develop skills to critically appraise economic evaluations.",,Health Sciences 2801A/B,3 lecture hours. No prior background in economics is required.,0.50,Health Sciences
